stat,value
id,91de57d6f8
uptime,0.10852529325419003
os_version,10.0
RPi_revision,c03115
Mycodo_revision,8.12.6
alembic_version,6e394f2e8fec
country,KE
daemon_startup_seconds,2.9146297580000002
ram_use_mb,46.992
num_lcds,1
num_lcds_active,0
num_maths,1
num_maths_active,0
num_methods,1
num_methods_in_pid,0
num_setpoint_meas_in_pid,0
num_pids,1
num_pids_active,0
num_relays,1
num_sensors,1
num_sensors_active,1
num_conditionals,1
num_conditionals_active,0
num_triggers,1
num_triggers_active,0
